Sort Method,Time in seconds
1000 heap 0% int random sort,0.000326
1000 heap 0% string random sort,0.000429
1000 heap 20% int random sort,0.000291
1000 heap 20% string random sort,0.000431
1000 heap 40% int random sort,0.000290
1000 heap 40% string random sort,0.000426
1000 heapNoDupeASC 0% string random sort,0.000399
1000 heapNoDupeASC int 0% random sort,0.000291
1000 heapNoDupeDSC 0% int random sort,0.000315
1000 heapNoDupeDSC 0% string random sort,0.000433
1000 insert 0% string random sort,0.000429
1000 insert 20% int random sort,0.000023
1000 insert 20% string random sort,0.000421
1000 insert 40% int random sort,0.000023
1000 insert 40% string random sort,0.000413
1000 insertNoDupe 0% int random sort,0.000023
1000 insertNoDupeASC 0% int random sort,0.000022
1000 insertNoDupeASC 0% string random sort,0.000402
1000 insertNoDupeDSC 0% int random sort,0.000027
1000 insertNoDupeDSC 0% string random sort,0.000466
1000 quick 0% int random sort,0.000316
1000 quick 0% string random sort,0.000444
1000 quick 20% int random sort,0.000341
1000 quick 20% string random sort,0.000437
1000 quick 40% int random sort,0.000296
1000 quick 40% string random sort,0.000398
1000 quickNoDupeASC 0% int random sort,0.000187
1000 quickNoDupeASC 0% string random sort,0.000247
1000 quickNoDupeDSC 0% int random sort,0.000198
1000 quickNoDupeDSC 0% string random sort,0.000253
10000 heap 0% int random sort,0.004029
10000 heap 0% string random sort,0.006083
10000 heap 20% int random sort,0.004095
10000 heap 20% string random sort,0.005938
10000 heap 40% int random sort,0.003943
10000 heap 40% string random sort,0.006068
10000 heapNoDupeASC 0% string random sort,0.005340
10000 heapNoDupeASC int 0% random sort,0.003694
10000 heapNoDupeDSC 0% int random sort,0.003936
10000 heapNoDupeDSC 0% string random sort,0.006220
10000 insert 0% string random sort,0.006118
10000 insert 20% int random sort,0.000224
10000 insert 20% string random sort,0.006005
10000 insert 40% int random sort,0.000223
10000 insert 40% string random sort,0.005690
10000 insertNoDupe 0% int random sort,0.000225
10000 insertNoDupeASC 0% int random sort,0.000224
10000 insertNoDupeASC 0% string random sort,0.005419
10000 insertNoDupeDSC 0% int random sort,0.000269
10000 insertNoDupeDSC 0% string random sort,0.005908
10000 quick 0% int random sort,0.004186
10000 quick 0% string random sort,0.005780
10000 quick 20% int random sort,0.003993
10000 quick 20% string random sort,0.005997
10000 quick 40% int random sort,0.003855
10000 quick 40% string random sort,0.005443
10000 quickNoDupeASC 0% int random sort,0.002545
10000 quickNoDupeASC 0% string random sort,0.003894
10000 quickNoDupeDSC 0% int random sort,0.002476
10000 quickNoDupeDSC 0% string random sort,0.003689
100000 heap 0% int random sort,0.051425
100000 heap 0% string random sort,0.090034
100000 heap 20% int random sort,0.051898
100000 heap 20% string random sort,0.082234
100000 heap 40% int random sort,0.051433
100000 heap 40% string random sort,0.078142
100000 heapNoDupeASC 0% string random sort,0.072250
100000 heapNoDupeASC int 0% random sort,0.047096
100000 heapNoDupeDSC 0% int random sort,0.053504
100000 heapNoDupeDSC 0% string random sort,0.080682
100000 insert 0% string random sort,0.095957
100000 insert 20% int random sort,0.002245
100000 insert 20% string random sort,0.110518
100000 insert 40% int random sort,0.002246
100000 insert 40% string random sort,0.088815
100000 insertNoDupe 0% int random sort,0.002239
100000 insertNoDupeASC 0% int random sort,0.002240
100000 insertNoDupeASC 0% string random sort,0.073803
100000 insertNoDupeDSC 0% int random sort,0.002664
100000 insertNoDupeDSC 0% string random sort,0.081658
100000 quick 0% int random sort,0.050349
100000 quick 0% string random sort,0.085104
100000 quick 20% int random sort,0.051046
100000 quick 20% string random sort,0.081178
100000 quick 40% int random sort,0.057334
100000 quick 40% string random sort,0.073443
100000 quickNoDupeASC 0% int random sort,0.028597
100000 quickNoDupeASC 0% string random sort,0.063129
100000 quickNoDupeDSC 0% int random sort,0.032197
100000 quickNoDupeDSC 0% string random sort,0.074326
1000000 heap 0% int random sort,0.604219
1000000 heap 0% string random sort,1.825969
1000000 heap 20% int random sort,0.572146
1000000 heap 20% string random sort,1.571823
1000000 heap 40% int random sort,0.548478
1000000 heap 40% string random sort,1.339420
1000000 heapNoDupeASC 0% string random sort,1.053308
1000000 heapNoDupeASC int 0% random sort,0.549845
1000000 heapNoDupeDSC 0% int random sort,0.570744
1000000 heapNoDupeDSC 0% string random sort,1.265758
1000000 insert 0% string random sort,1.882358
1000000 insert 20% int random sort,0.022767
1000000 insert 20% string random sort,1.778442
1000000 insert 40% int random sort,0.022711
1000000 insert 40% string random sort,1.381269
1000000 insertNoDupe 0% int random sort,0.022575
1000000 insertNoDupeASC 0% int random sort,0.022620
1000000 insertNoDupeASC 0% string random sort,1.048577
1000000 insertNoDupeDSC 0% int random sort,0.027017
1000000 insertNoDupeDSC 0% string random sort,1.287907
1000000 quick 0% int random sort,0.644570
1000000 quick 0% string random sort,1.330885
1000000 quick 20% int random sort,0.605938
1000000 quick 20% string random sort,1.158110
1000000 quick 40% int random sort,0.598472
1000000 quick 40% string random sort,1.014620
1000000 quickNoDupeASC 0% int random sort,0.342010
1000000 quickNoDupeASC 0% string random sort,1.263353
1000000 quickNoDupeDSC 0% int random sort,0.348153
1000000 quickNoDupeDSC 0% string random sort,1.349496
2000000 heap 0% int random sort,1.287879
2000000 heap 0% string random sort,4.623965
2000000 heap 20% int random sort,1.257047
2000000 heap 20% string random sort,3.574093
2000000 heap 40% int random sort,1.150912
2000000 heap 40% string random sort,3.026105
2000000 heapNoDupeASC 0% string random sort,2.587711
2000000 heapNoDupeASC int 0% random sort,1.142649
2000000 heapNoDupeDSC 0% int random sort,1.206775
2000000 heapNoDupeDSC 0% string random sort,2.791005
2000000 insert 0% string random sort,5.031015
2000000 insert 20% int random sort,0.045274
2000000 insert 20% string random sort,4.045178
2000000 insert 40% int random sort,0.045506
2000000 insert 40% string random sort,4.470739
2000000 insertNoDupe 0% int random sort,0.045422
2000000 insertNoDupeASC 0% int random sort,0.045266
2000000 insertNoDupeASC 0% string random sort,2.211565
2000000 insertNoDupeDSC 0% int random sort,0.053679
2000000 insertNoDupeDSC 0% string random sort,3.126054
2000000 quick 0% int random sort,1.241270
2000000 quick 0% string random sort,3.037368
2000000 quick 20% int random sort,1.221617
2000000 quick 20% string random sort,2.883827
2000000 quick 40% int random sort,1.222351
2000000 quick 40% string random sort,2.578491
2000000 quickNoDupeASC 0% int random sort,0.703336
2000000 quickNoDupeASC 0% string random sort,2.984755
2000000 quickNoDupeDSC 0% int random sort,0.723730
2000000 quickNoDupeDSC 0% string random sort,2.923534
500000 heap 0% int random sort,0.286834
500000 heap 0% string random sort,0.835884
500000 heap 20% int random sort,0.277487
500000 heap 20% string random sort,0.818325
500000 heap 40% int random sort,0.267698
500000 heap 40% string random sort,0.555928
500000 heapNoDupeASC 0% string random sort,0.507283
500000 heapNoDupeASC int 0% random sort,0.259336
500000 heapNoDupeDSC 0% int random sort,0.278182
500000 heapNoDupeDSC 0% string random sort,0.659957
500000 insert 0% string random sort,0.946722
500000 insert 20% int random sort,0.011259
500000 insert 20% string random sort,0.659573
500000 insert 40% int random sort,0.011259
500000 insert 40% string random sort,0.558925
500000 insertNoDupe 0% int random sort,0.011271
500000 insertNoDupeASC 0% int random sort,0.011307
500000 insertNoDupeASC 0% string random sort,0.525829
500000 insertNoDupeDSC 0% int random sort,0.013378
500000 insertNoDupeDSC 0% string random sort,0.599439
500000 quick 0% int random sort,0.303554
500000 quick 0% string random sort,0.631432
500000 quick 20% int random sort,0.297399
500000 quick 20% string random sort,0.545752
500000 quick 40% int random sort,0.277086
500000 quick 40% string random sort,0.466576
500000 quickNoDupeASC 0% int random sort,0.165402
500000 quickNoDupeASC 0% string random sort,0.511207
500000 quickNoDupeDSC 0% int random sort,0.166078
500000 quickNoDupeDSC 0% string random sort,0.507261
